1159, 969, 1710, 1537
1536, 1837, 563, 1218
16, 1328, 123, 929
999, 1188, 1, 1735
628, 1440, 342, 1779
1951, 1174, 1134, 1653
1060, 745, 1324, 1707
981, 1269, 837, 1462
718, 597, 582, 529
1032, 1127, 631, 1360
1767, 1415, 407, 324
1133, 1352, 1715, 1804
1949, 2012, 732, 2107
1190, 1105, 1966, 1368
323, 1530, 684, 157
1405, 900, 336, 1702
449, 867, 1103, 2090
299, 1425, 1553, 1077
1241, 417, 1157, 2064
1278, 952, 1393, 988
210, 943, 1201, 1591
1875, 1750, 1125, 1975
1013, 1587, 1586, 2028
1164, 1649, 35, 1626
1142, 641, 1194, 575
1786, 558, 649, 1915
1523, 1461, 747, 1877
1430, 1814, 1965, 1257
1836, 621, 1796, 687
1282, 792, 1969, 921
1109, 895, 348, 2025
930, 755, 1446, 1889
722, 1923, 1999, 1288
2009, 2130, 2032, 1944
1609, 600, 989, 1978
339, 1231, 1053, 876
1896, 777, 217, 1881
1163, 534, 1781, 1100
313, 1531, 2059, 1812
507, 1413, 993, 1264
624, 471, 479, 1291
444, 1672, 2094, 1930
77, 864, 1438, 23
466, 738, 2054, 1073
2089, 1383, 7, 778
218, 174, 1516, 1112
70, 196, 74, 194
1237, 1684, 1233, 260
557, 1540, 978, 1448
1807, 708, 1283, 1267
1785, 1314, 942, 379
1514, 2015, 1048, 1575
666, 71, 922, 511
2063, 1130, 965, 1701
410, 1128, 139, 1444
1151, 1442, 793, 91
1792, 1381, 1650, 626
135, 1162, 2093, 2042
434, 136, 1319, 1004
48, 1600, 1746, 1422
1658, 1307, 1751, 1143
1137, 1897, 1086, 544
510, 1196, 1428, 374
168, 1834, 918, 634
1396, 1097, 219, 2105
912, 1373, 1942, 1677
1478, 1918, 172, 1979
1222, 1395, 231, 853
1922, 662, 2133, 85
811, 357, 1673, 1722
1612, 1663, 1640, 1757
1310, 1503, 103, 481
1929, 2031, 1919, 1205
1155, 1706, 699, 1325
1180, 1737, 862, 783
578, 1260, 1657, 1331
37, 1543, 1074, 490
554, 1495, 2003, 2011
1400, 1717, 619, 1826
436, 570, 1410, 941
1972, 1437, 870, 1066
1384, 1747, 441, 308
556, 543, 397, 1419
2017, 1987, 1629, 470
766, 382, 873, 1388
865, 610, 1891, 271
25, 2128, 935, 480
1349, 413, 1635, 1894
996, 300, 493, 1882
1886, 1262, 1332, 1439
2005, 1616, 310, 1338
1852, 504, 868, 1321
425, 1569, 1008, 643
2074, 842, 650, 1582
2045, 2076, 887, 1513
797, 1051, 1974, 2060
883, 1480, 532, 1191
685, 645, 1843, 1389
801, 1816, 1998, 1426
387, 640, 957, 1943
1350, 66, 1330, 1091
1056, 772, 453, 351
1038, 754, 1838, 1678
243, 108, 967, 2112
248, 1227, 269, 1952
401, 1208, 1200, 677
1705, 1512, 1089, 2000
775, 416, 639, 1989
462, 365, 346, 2122
128, 1270, 492, 1436
780, 1211, 1791, 571
809, 663, 2027, 572
1339, 325, 1745, 1603
141, 1577, 620, 1732
779, 596, 1532, 1017
167, 1628, 1661, 1620
468, 1489, 1342, 250
937, 304, 1828, 2135
132, 586, 1819, 2077
1667, 825, 1938, 1548
920, 105, 1453, 1443
80, 467, 497, 1962
1141, 95, 2097, 56
186, 1619, 1168, 1853
891, 1810, 1484, 881
1606, 790, 911, 296
743, 279, 284, 36
1993, 1312, 459, 92
1910, 140, 110, 1085
151, 1173, 195, 774
2108, 1225, 1505, 2047
303, 393, 613, 209
412, 2037, 293, 878
919, 400, 1193, 866
2079, 707, 824, 240
877, 1742, 1905, 1011
874, 1593, 1604, 1840
2046, 306, 96, 1743
153, 1738, 979, 1824
1931, 1556, 902, 1811
1318, 1622, 711, 1007
2126, 1544, 1367, 573
1279, 2067, 956, 1636
372, 2087, 57, 1685
1655, 847, 1850, 1908
1483, 330, 1563, 179
768, 322, 1610, 1064
1406, 1554, 1071, 1519
550, 1557, 1515, 1025
948, 226, 1832, 1253
1167, 1009, 1305, 1613
1106, 1571, 1030, 500
1911, 1996, 858, 2121
68, 2036, 1232, 2095
1149, 1498, 1095, 1638
1114, 222, 1730, 1323
702, 2026, 433, 884
191, 821, 835, 1901
799, 879, 267, 249
292, 845, 1334, 112
87, 1385, 947, 1329
2016, 1243, 1522, 871
1991, 1364, 1148, 1351
959, 1817, 50, 156
1848, 78, 1547, 181
1574, 1594, 1303, 1420
1481, 1570, 350, 914
295, 1597, 2066, 2056
1823, 968, 1327, 76
199, 629, 538, 2039
2092, 1002, 2006, 113
1176, 39, 1039, 484
716, 1697, 1434, 448
1152, 1690, 1062, 1872
1081, 1192, 2102, 1185
1637, 197, 488, 1802
1784, 605, 104, 2114
1916, 431, 102, 546
527, 473, 729, 503
1474, 169, 656, 380
1023, 519, 1246, 1671
1198, 1123, 1734, 1182
1464, 1973, 1783, 836
734, 60, 31, 1286
321, 1941, 1681, 681
270, 609, 2073, 1382
327, 813, 1762, 962
1315, 221, 2080, 1788
360, 19, 689, 1509
472, 925, 242, 1179
767, 1868, 396, 264
975, 807, 1491, 1945
384, 893, 1271, 385
841, 548, 2124, 353
371, 1555, 1402, 705
1502, 1504, 1145, 1755
1308, 1111, 1890, 1956
1293, 746, 518, 461
569, 1345, 751, 286
1947, 1590, 1187, 318
28, 285, 553, 2014
1716, 1281, 2083, 1948
552, 1295, 419, 290
660, 1449, 562, 2091
753, 1960, 1289, 654
1718, 739, 1724, 1533
1171, 12, 787, 1950
1940, 229, 423, 53
424, 1377, 253, 1059
58, 1958, 1698, 2020
1138, 721, 1296, 896
1933, 1725, 255, 335
107, 576, 1421, 1517
228, 1175, 2136, 646
1815, 764, 1214, 2068
1576, 513, 1068, 314
1356, 1226, 1578, 203
1475, 370, 442, 2071
1272, 945, 477, 1704
1721, 1968, 1035, 1033
469, 1990, 1082, 273
531, 328, 1136, 1119
928, 926, 931, 579
1287, 2088, 1251, 367
674, 1273, 338, 1595
2061, 946, 2053, 404
1118, 13, 701, 1660
1473, 1126, 1765, 79
1980, 452, 1363, 1589
1154, 414, 499, 905
1693, 1687, 2065, 30
1348, 1552, 1759, 724
1921, 334, 1466, 207
683, 1460, 2131, 115
1858, 786, 638, 1146
949, 1131, 1078, 1096
344, 1992, 1092, 964
375, 1787, 1798, 700
147, 694, 1961, 1558
309, 1404, 667, 1161
1771, 1647, 265, 1676
1158, 6, 830, 1508
954, 750, 606, 171
1963, 806, 1087, 177
1624, 202, 2110, 1839
277, 411, 1375, 1831
1695, 671, 241, 439
1441, 1501, 489, 823
2038, 1871, 698, 1322
183, 1276, 1727, 1955
917, 343, 2070, 111
1630, 795, 840, 2018
1254, 958, 361, 916
1041, 2062, 1309, 655
114, 252, 849, 216
2081, 1120, 1387, 1016
717, 475, 1234, 1847
1255, 987, 1369, 1407
1223, 839, 1562, 2072
1392, 585, 1648, 1477
1018, 2086, 368, 1067
2125, 498, 1924, 854
52, 59, 1209, 347
1857, 520, 1567, 574
794, 1206, 1782, 1445
545, 822, 1860, 1983
1347, 1284, 713, 1756
1144, 146, 406, 1248
27, 1584, 205, 608
1601, 995, 1459, 828
723, 1044, 526, 938
502, 1199, 505, 149
1789, 635, 155, 1485
460, 1772, 1692, 1773
536, 890, 1688, 1580
622, 843, 1748, 5
1691, 44, 235, 985
17, 1954, 692, 440
1761, 814, 2041, 690
695, 514, 678, 1450
212, 1263, 262, 1054
1617, 1906, 1800, 163
1245, 872, 936, 1488
137, 1353, 966, 405
923, 1729, 1102, 418
1265, 521, 457, 331
1357, 1088, 892, 2013
761, 1639, 730, 386
1769, 1809, 1371, 712
735, 1936, 126, 1497
1337, 18, 358, 1027
844, 133, 1518, 1559
1370, 509, 1010, 227
1487, 1825, 1668, 1565
1699, 627, 549, 1774
1399, 1524, 595, 1833
254, 129, 547, 1492
1493, 1778, 1728, 2132
897, 275, 1290, 1682
1358, 1539, 850, 2034
14, 307, 1654, 607
1662, 211, 99, 2118
1072, 1739, 22, 1259
1664, 237, 1229, 977
1865, 1988, 1511, 1652
61, 1542, 1799, 533
1455, 584, 1977, 239
1581, 1770, 390, 1893
162, 487, 697, 664
1107, 1496, 679, 1598
2030, 771, 1299, 1043
1907, 1914, 208, 615
214, 1316, 329, 1920
776, 1708, 1000, 1344
1827, 1046, 1879, 258
623, 1129, 1967, 1317
355, 818, 1261, 1490
592, 2119, 1534, 86
760, 118, 1150, 741
1058, 1069, 2008, 223
598, 178, 908, 1917
885, 263, 356, 62
93, 784, 802, 915
317, 1997, 1024, 986
2101, 1801, 565, 1139
696, 119, 259, 455
819, 278, 1429, 402
1525, 182, 633, 2
73, 1583, 1880, 1479
1959, 617, 1566, 1982
882, 1418, 94, 540
1971, 483, 757, 710
333, 1409, 593, 994
1374, 364, 1564, 1183
185, 432, 125, 1414
781, 816, 246, 1416
1764, 1795, 1398, 1447
817, 1928, 726, 1535
1166, 1277, 875, 983
1236, 1926, 1932, 1651
1336, 381, 1733, 1470
46, 1249, 495, 601
1181, 1472, 1116, 1851
1012, 134, 2078, 1213
691, 899, 1457, 1207
762, 320, 1797, 150
2057, 1285, 456, 437
1469, 512, 193, 340
659, 982, 758, 1203
686, 55, 1306, 282
1995, 408, 363, 1696
1645, 852, 399, 577
888, 1465, 2082, 1467
863, 1124, 2023, 233
2075, 603, 38, 1753
1135, 1720, 345, 1935
860, 733, 165, 665
1499, 2044, 238, 653
398, 305, 97, 1034
188, 973, 392, 2103
715, 117, 1050, 1855
1280, 287, 963, 1659
1821, 528, 1703, 1217
1431, 1599, 1780, 20
8, 910, 1641, 1228
1794, 234, 657, 796
142, 427, 535, 1939
2050, 759, 1424, 1169
704, 599, 680, 1913
496, 1766, 1274, 116
2029, 1845, 1215, 1632
651, 1964, 714, 950
1510, 561, 904, 311
525, 289, 1866, 1354
539, 2052, 45, 1909
1230, 272, 1435, 458
731, 464, 84, 1546
215, 1210, 894, 244
1076, 49, 2024, 1433
637, 530, 1674, 2099
1003, 420, 834, 2010
972, 1749, 590, 158
933, 122, 1898, 354
65, 1156, 719, 1713
1768, 932, 1417, 1741
1822, 611, 1361, 1608
1320, 960, 522, 145
1835, 644, 851, 2127
1883, 1055, 1627, 1588
1711, 429, 474, 1984
1408, 2134, 1867, 245
1885, 200, 2096, 266
1841, 1216, 1892, 2021
1902, 1912, 1946, 1775
